data,simbolo,tipo,profit
2023-01-02,EURUSD,LONG,152.30
2023-01-03,EURUSD,SHORT,-88.10
2023-01-05,GBPUSD,LONG,210.45
2023-01-06,EURUSD,LONG,-145.00
2023-01-09,USDJPY,SHORT,98.75
2023-01-10,GBPUSD,LONG,305.20
2023-01-12,EURUSD,SHORT,-176.40
2023-01-13,USDJPY,LONG,64.90
2023-01-16,GBPUSD,SHORT,-112.30
2023-01-17,EURUSD,LONG,188.60
2023-01-19,USDJPY,LONG,-95.50
2023-01-20,GBPUSD,LONG,142.10
2023-01-23,EURUSD,SHORT,256.80
2023-01-24,USDJPY,SHORT,-67.20
2023-01-26,GBPUSD,LONG,99.40
2023-01-27,EURUSD,LONG,-203.10
2023-01-30,USDJPY,LONG,175.30
2023-01-31,GBPUSD,SHORT,88.90
2023-02-02,EURUSD,LONG,-134.70
2023-02-03,USDJPY,LONG,221.50
